week,rank,player,team,opponent,site,depth_role,backfield_type,sharp_def_rank,final_carry_share,exp_q1_carries,proj_team_q1_yds,exp_player_q1_yds,floor,ceiling,prob20_proxy,prob25_proxy,v04_score,v05_candidate_score,v05_delta,prime_label
1,1,Javonte Williams,DAL,NYG,A,RB1,Bellcow,32,0.7853365,5.635944294117647,40.54609117647058,31.684438854169116,17.054398616406857,40.02569584922057,0.7511213566964601,0.5378313368459559,90.2740594117647,88.71515470588236,-1.558904705882341,ELITE
1,2,De'Von Achane,MIA,LV,A,RB1,Bellcow,17,0.690087,4.140522,33.63597794117647,25.03398021445588,14.858410103077832,46.63773030923349,0.6999904599001471,0.6401085138722127,78.25288781512604,86.14424390756302,7.891356092436979,ELITE
1,3,Saquon Barkley,PHI,WAS,H,RB1,Bellcow / QB diluted,26,0.5910825,3.9289601470588233,38.42989264705882,22.41763593189632,13.935864893144341,32.182594679433016,0.5632267476958098,0.44085316672914754,79.31346046218488,78.71504273109244,-0.5984177310924395,PRIME
1,4,Kyren Williams,LA,SF,H,RB1,Strong RB1,25,0.6443814999999999,4.169527352941176,36.98410735294118,23.231400605266916,12.899771649803562,32.09931494941068,0.4927844363534318,0.43721430865977007,77.13055382352941,77.52481441176471,0.39426058823529786,PRIME
1,5,Bucky Irving,TB,CIN,A,RB1,Bellcow,31,0.6988025,4.727193382352941,33.88175,22.78667685364583,12.403114145981988,31.938509104612624,0.5359842846397569,0.42454147199360054,76.84658214285714,76.76522857142857,-0.08135357142857913,PRIME
1,6,James Cook,BUF,HOU,A,RB1,Strong RB1 / QB diluted,3,0.6360855000000001,4.452598500000001,29.71138676470589,18.32197231925736,10.034688149016196,36.70406444704859,0.5267382155333089,0.4505715707829258,62.912453403361354,74.40153920168068,11.489085798319323,PRIME
1,7,Derrick Henry,BAL,IND,A,RB1,Bellcow / QB diluted,7,0.6860855,5.246536176470588,26.18159705882353,19.44009763214706,11.411424163956397,34.23427249186919,0.5087741124133194,0.39753788219688785,60.36702004201681,72.3237225210084,11.956702478991595,PRIME
1,8,Bijan Robinson,ATL,PIT,A,RB1,Bellcow,8,0.7348085,4.841091294117646,26.604948529411768,19.186358169099268,10.248623646852069,32.945870940556205,0.5701917478884191,0.4596174692115039,61.57558823529411,71.78026911764707,10.204680882352953,PRIME
1,9,Tony Pollard,TEN,NYJ,H,RB1A,RB1A/RB1B,12,0.6636190000000001,3.825568352941177,30.740686764705885,21.90824190278383,10.922289870938997,31.666869612816992,0.540507395892935,0.4233672989826215,64.04110268907564,70.23242634453783,6.191323655462185,PRIME
1,10,Jonathan Taylor,IND,BAL,H,RB1,Bellcow,11,0.775421,5.108656,24.981376470588234,18.773816684852942,9.046519629501104,30.98955888850331,0.5325476430909664,0.42296017460892615,59.827901764705885,69.92032588235294,10.092424117647056,STRONG
1,11,D'Andre Swift,CHI,CAR,A,RB1A,RB1A/RB1B,29,0.5465335,3.8900325588235294,36.699411764705886,22.299571822058827,9.91914402595956,29.61993207787868,0.49295878056932774,0.37086761209131325,71.45834768907564,68.01751134453782,-3.4408363445378143,STRONG
1,12,Ashton Jeanty,LV,MIA,H,RB1,Bellcow,22,0.7598290000000001,3.9779282941176475,27.036972058823537,20.404883923710297,8.350208771118298,28.350626313354894,0.45644350759056096,0.3106144829225496,62.15646647058824,65.76738323529412,3.610916764705877,STRONG
1,13,Jahmyr Gibbs,DET,NO,H,RB1,Strong RB1,13,0.643323,4.124835705882353,25.57124852941177,16.92397284171177,10.788683278323663,24.116049834970987,0.4116889365362942,0.24179134369233246,54.83111966386555,60.99933483193277,6.168215168067221,STRONG
1,14,Chase Brown,CIN,TB,H,RB1,Strong RB1,13,0.6617195,4.126015705882353,22.301136764705888,14.317006436458094,7.943459093023378,24.380377279070135,0.4105657970401755,0.31158413712572425,51.947153403361355,60.002989201680684,8.055835798319329,STRONG
1,15,Christian McCaffrey,SF,LA,A,RB1,Bellcow,5,0.685654,4.194589176470588,21.579282352941174,14.958283782847058,5.902175236254647,25.40652570876394,0.3864157914937479,0.318295179122818,48.62613168067226,59.56544084033612,10.939309159663864,WATCH
1,16,Breece Hall,NYJ,TEN,A,RB1,Strong RB1,20,0.596356,3.893853882352941,27.410595588235296,20.25352461657353,8.45024734260195,24.663242027805843,0.3635274593559454,0.28070549017344393,56.37239327731093,59.39197163865546,3.0195783613445357,WATCH
1,17,Jaylen Warren,PIT,ATL,H,RB1A,RB1A/RB1B,23,0.5265234999999999,3.0662250882352935,28.29308235294118,15.631149940235295,7.443709610208236,23.981128830624705,0.3728469278030252,0.3010818017001368,56.74985953781513,58.678642268907566,1.92878273109244,WATCH
1,18,Quinshon Judkins,CLE,JAX,A,RB1,Strong RB1,6,0.7373685000000001,4.641084088235295,21.02890588235294,14.84413643110588,7.6614237666987055,22.434271300096114,0.347988182685647,0.2732106138138987,47.55418705882353,58.049343529411765,10.495156470588235,WATCH
1,19,Rhamondre Stevenson,NE,SEA,A,RB1A,RB1A/RB1B,2,0.42663399999999996,3.262495294117647,29.511852941176475,12.472107462955883,6.524346597081582,24.52303979124474,0.4353556673808614,0.3662520548448871,49.59580210084034,56.28072605042017,6.684923949579833,WATCH
1,20,Jeremiyah Love,ARI,LAC,A,RB1A,Unstable 1A/1B,18,0.48,2.7105882352941175,27.984523529411764,13.432571294117645,7.387914211764706,22.163742635294113,0.38378775126050413,0.31238537893296847,53.289309142857135,55.41466645378151,2.1253573109243717,WATCH
