week,team,opponent,site,player,depth_role,backfield_type,sharp_def_rank,final_carry_share,exp_q1_carries,proj_team_q1_yds,exp_player_q1_yds,floor,ceiling,prob20_proxy,prob25_proxy,v05_candidate_score,prime_label
1,DAL,NYG,A,Javonte Williams,RB1,Bellcow,32,0.7853365,5.635944294117647,40.54609117647058,31.684438854169116,17.054398616406857,40.02569584922057,0.7511213566964601,0.5378313368459559,88.71515470588236,ELITE
1,MIA,LV,A,De'Von Achane,RB1,Bellcow,17,0.690087,4.140522,33.63597794117647,25.03398021445588,14.858410103077832,46.63773030923349,0.6999904599001471,0.6401085138722127,86.14424390756302,ELITE
1,PHI,WAS,H,Saquon Barkley,RB1,Bellcow / QB diluted,26,0.5910825,3.9289601470588233,38.42989264705882,22.41763593189632,13.935864893144341,32.182594679433016,0.5632267476958098,0.44085316672914754,78.71504273109244,PRIME
1,LA,SF,H,Kyren Williams,RB1,Strong RB1,25,0.6443814999999999,4.169527352941176,36.98410735294118,23.231400605266916,12.899771649803562,32.09931494941068,0.4927844363534318,0.43721430865977007,77.52481441176471,PRIME
1,TB,CIN,A,Bucky Irving,RB1,Bellcow,31,0.6988025,4.727193382352941,33.88175,22.78667685364583,12.403114145981988,31.938509104612624,0.5359842846397569,0.42454147199360054,76.76522857142857,PRIME
1,BUF,HOU,A,James Cook,RB1,Strong RB1 / QB diluted,3,0.6360855000000001,4.452598500000001,29.71138676470589,18.32197231925736,10.034688149016196,36.70406444704859,0.5267382155333089,0.4505715707829258,74.40153920168068,PRIME
1,BAL,IND,A,Derrick Henry,RB1,Bellcow / QB diluted,7,0.6860855,5.246536176470588,26.18159705882353,19.44009763214706,11.411424163956397,34.23427249186919,0.5087741124133194,0.39753788219688785,72.3237225210084,PRIME
1,ATL,PIT,A,Bijan Robinson,RB1,Bellcow,8,0.7348085,4.841091294117646,26.604948529411768,19.186358169099268,10.248623646852069,32.945870940556205,0.5701917478884191,0.4596174692115039,71.78026911764707,PRIME
1,TEN,NYJ,H,Tony Pollard,RB1A,RB1A/RB1B,12,0.6636190000000001,3.825568352941177,30.740686764705885,21.90824190278383,10.922289870938997,31.666869612816992,0.540507395892935,0.4233672989826215,70.23242634453783,PRIME
1,IND,BAL,H,Jonathan Taylor,RB1,Bellcow,11,0.775421,5.108656,24.981376470588234,18.773816684852942,9.046519629501104,30.98955888850331,0.5325476430909664,0.42296017460892615,69.92032588235294,STRONG
1,CHI,CAR,A,D'Andre Swift,RB1A,RB1A/RB1B,29,0.5465335,3.8900325588235294,36.699411764705886,22.299571822058827,9.91914402595956,29.61993207787868,0.49295878056932774,0.37086761209131325,68.01751134453782,STRONG
1,LV,MIA,H,Ashton Jeanty,RB1,Bellcow,22,0.7598290000000001,3.9779282941176475,27.036972058823537,20.404883923710297,8.350208771118298,28.350626313354894,0.45644350759056096,0.3106144829225496,65.76738323529412,STRONG
1,DET,NO,H,Jahmyr Gibbs,RB1,Strong RB1,13,0.643323,4.124835705882353,25.57124852941177,16.92397284171177,10.788683278323663,24.116049834970987,0.4116889365362942,0.24179134369233246,60.99933483193277,STRONG
1,CIN,TB,H,Chase Brown,RB1,Strong RB1,13,0.6617195,4.126015705882353,22.301136764705888,14.317006436458094,7.943459093023378,24.380377279070135,0.4105657970401755,0.31158413712572425,60.002989201680684,STRONG
1,SF,LA,A,Christian McCaffrey,RB1,Bellcow,5,0.685654,4.194589176470588,21.579282352941174,14.958283782847058,5.902175236254647,25.40652570876394,0.3864157914937479,0.318295179122818,59.56544084033612,WATCH
1,NYJ,TEN,A,Breece Hall,RB1,Strong RB1,20,0.596356,3.893853882352941,27.410595588235296,20.25352461657353,8.45024734260195,24.663242027805843,0.3635274593559454,0.28070549017344393,59.39197163865546,WATCH
1,PIT,ATL,H,Jaylen Warren,RB1A,RB1A/RB1B,23,0.5265234999999999,3.0662250882352935,28.29308235294118,15.631149940235295,7.443709610208236,23.981128830624705,0.3728469278030252,0.3010818017001368,58.678642268907566,WATCH
1,CLE,JAX,A,Quinshon Judkins,RB1,Strong RB1,6,0.7373685000000001,4.641084088235295,21.02890588235294,14.84413643110588,7.6614237666987055,22.434271300096114,0.347988182685647,0.2732106138138987,58.049343529411765,WATCH
1,NE,SEA,A,Rhamondre Stevenson,RB1A,RB1A/RB1B,2,0.42663399999999996,3.262495294117647,29.511852941176475,12.472107462955883,6.524346597081582,24.52303979124474,0.4353556673808614,0.3662520548448871,56.28072605042017,WATCH
1,ARI,LAC,A,Jeremiyah Love,RB1A,Unstable 1A/1B,18,0.48,2.7105882352941175,27.984523529411764,13.432571294117645,7.387914211764706,22.163742635294113,0.38378775126050413,0.31238537893296847,55.41466645378151,WATCH
1,LAC,ARI,H,Omarion Hampton,RB1,Strong RB1,24,0.602097,3.8250868235294115,28.907272058823526,16.6968547948125,8.255779616574843,25.517338849724528,0.42216004501687493,0.3882989487165697,55.181720378151255,WATCH
1,MIN,GB,H,Aaron Jones,RB1A,RB1A/RB1B,16,0.561312,3.4008903529411767,24.86993235294118,13.137305501083826,5.726483111518247,23.64194933455474,0.35222321358536346,0.2749834296625051,54.42788798319328,WATCH
